CustomerID,First_Name,Last_Name,Phone_Number,Address,Paying Customer,Do_Not_Contact
1001,Frodo,Baggins,1235455421,"123 Shire Lane, Shire",Yes,No
1002,Abed,Nadir,1236439775,93 West Main Street,No,Yes
1003,Walter,White,7066950392,298 Drugs Driveway,No,
1004,Dwight,Schrute,1235432345,"980 Paper Avenue, Pennsylvania, 18503",Yes,Yes
1005,Jon,Snow,8766783469,123 Dragons Road,Yes,No
1006,Ron,Swanson,3047622467,768 City Parkway,Yes,Yes
1007,Jeff,  Winger,,1209 South Street,No,No
1008,Sherlock,Holmes,8766783469,98 Clue Drive,No,No
1009,Gandalf,,,123 Middle Earth,Yes,
1010,Peter,Parker,1235455421,"25th Main Street, New York",Yes,No
1011,Samwise,Gamgee,,"612 Shire Lane, Shire",Yes,No
1012,Harry,Potter,7066950392,2394 Hogwarts Avenue,Yes,
1013,Don,Draper,1235432345,2039 Main Street,Yes,Yes
1014,Leslie,Knope,8766783469,343 City Parkway,Yes,No
1015,Toby,Flenderson,3047622467,214 HR Avenue,No,No
1016,Ron,Weasley,1235455421,2395 Hogwarts Avenue,No,Yes
1017,Michael,Scott,1236439775,"121 Paper Avenue, Pennsylvania",Yes,No
1018,Clark,Kent,7066950392,3498 Super Lane,Yes,
1019,Creed,Braton,,N/a,N/a,Yes
1020,Anakin,Skywalker,8766783469,"910 Tatooine Road, Tatooine",Yes,Yes
1020,Anakin,Skywalker,8766783469,"910 Tatooine Road, Tatooine",Yes,Yes
